place,Count_Person,Count_Person_EducationalAttainmentBachelorsDegreeOrHigher,Median_Age_Person,Median_Income_Household,Percent_Person_WithAsthma,Percent_Person_WithHighBloodPressure
geoId/24001,67097.0,10067.0,41.2,59603.0,12.1,35.5
geoId/24003,602350.0,189790.0,39.0,124911.0,10.5,30.1
geoId/24005,852425.0,249443.0,39.7,91768.0,11.2,32.3
geoId/24009,94913.0,24139.0,40.8,133922.0,10.6,31.4
geoId/24011,34248.0,3733.0,39.9,68457.0,12.0,34.9
geoId/24013,177108.0,49770.0,41.3,118211.0,10.2,28.7
geoId/24015,106305.0,20517.0,40.6,92007.0,11.5,32.8
geoId/24017,174478.0,38720.0,38.9,122816.0,11.9,38.2
geoId/24019,33138.0,4539.0,43.5,61839.0,12.3,33.6
geoId/24021,299317.0,89963.0,39.0,122002.0,9.6,27.8
geoId/24023,28393.0,5573.0,48.3,67688.0,11.3,33.3
geoId/24025,265514.0,74637.0,40.5,112265.0,10.5,30.9
geoId/24027,339668.0,148194.0,39.8,149763.0,9.7,27.9
geoId/24029,19557.0,5535.0,48.6,80147.0,11.0,31.9
geoId/24031,1082273.0,448543.0,40.2,132450.0,9.5,26.8
geoId/24033,966629.0,242184.0,38.5,101798.0,10.6,37.3
geoId/24035,53688.0,14207.0,44.7,112826.0,10.9,33.0
geoId/24037,116469.0,28316.0,37.2,119446.0,10.9,33.5
geoId/24039,25241.0,3379.0,38.1,64943.0,12.4,39.2
geoId/24041,38244.0,12052.0,51.2,84811.0,11.2,29.3
geoId/24043,157228.0,26365.0,40.7,77747.0,12.3,35.1
geoId/24045,106329.0,19606.0,36.2,76210.0,11.9,35.2
geoId/24047,54337.0,14393.0,50.7,81745.0,11.2,33.1
geoId/24510,568271.0,145111.0,36.2,62177.0,12.4,35.2
zip/21550,13691.0,2893.0,49.4,64921.0,11.2,40.7
zip/21613,17926.0,2817.0,43.2,53890.0,12.4,41.5
zip/21863,5281.0,851.0,40.1,61975.0,11.3,44.6
zip/21853,10537.0,1736.0,33.7,69697.0,13.6,40.6
zip/21617,10428.0,2977.0,41.4,116898.0,10.7,38.1
zip/21601,24671.0,7399.0,48.1,83680.0,10.6,37.8
zip/21561,2412.0,690.0,57.0,73858.0,10.9,41.7
zip/21811,24377.0,7536.0,54.9,90082.0,10.5,42.3
zip/21536,3833.0,503.0,47.7,64205.0,11.6,42.2
zip/21620,13810.0,4344.0,42.5,80530.0,11.5,39.3
zip/21869,827.0,68.0,40.3,62045.0,11.7,40.7
zip/21629,10252.0,1206.0,40.0,73956.0,11.9,41.1
zip/21851,7297.0,1185.0,44.1,53162.0,12.3,44.6
zip/21157,38984.0,10368.0,43.2,104966.0,10.7,33.4
zip/21158,22083.0,5698.0,41.6,109827.0,10.8,33.7
zip/20772,54319.0,18248.0,42.3,139403.0,11.1,39.0
zip/21740,64792.0,9177.0,37.9,62873.0,12.8,39.5
zip/21871,1764.0,279.0,60.2,50524.0,11.9,45.2
zip/20613,17590.0,4804.0,44.4,151422.0,11.2,39.4
zip/21788,11654.0,2683.0,44.6,98856.0,10.3,34.1
zip/21622,420.0,78.0,51.5,68750.0,11.2,43.0
zip/21632,6436.0,539.0,41.9,61316.0,12.8,41.8
zip/21750,3417.0,307.0,50.1,60625.0,12.5,41.5
zip/21531,2487.0,326.0,48.8,63750.0,10.9,39.5
zip/21722,6721.0,873.0,40.7,88232.0,12.3,37.3
